llm;size;f1;accuracy;precision;recall;Model Family;f1_sem
gpt-4o;-1.0;0.8262;0.823;0.8394;0.823;GPT;0.0123
gpt-4o-mini;-1.0;0.8371;0.836;0.8414;0.836;GPT;0.0115
deepseek-r1-distill-llama-70b;70.0;0.8611;0.86;0.8629;0.86;Deepseek;0.0112
deepseek-r1-distill-qwen-32b;32.0;0.854;0.853;0.8564;0.853;Deepseek;0.0111
deepseek-r1-distill-qwen-14b;14.0;0.825;0.827;0.8299;0.827;Deepseek;0.012
deepseek-r1-distill-llama-8b;8.0;0.825;0.827;0.8299;0.827;Deepseek;0.0119
deepseek-r1-distill-qwen-1.5b;1.5;0.5646;0.557;0.573;0.557;Deepseek;0.0164
gemma-3-27b-it;27.0;0.8545;0.855;0.8569;0.855;Gemma;0.0115
gemma-3-12b-it;12.0;0.816;0.812;0.8349;0.812;Gemma;0.012
gemma-3-4b-it;4.0;0.8098;0.809;0.8211;0.809;Gemma;0.0124
gemma-3-1b-it;1.0;0.606;0.513;0.8022;0.513;Gemma;0.0165
llama-3.3-70b-instruct;70.0;0.8182;0.823;0.823;0.823;LLaMA;0.0123
meta-llama-3-8b-instruct;8.0;0.7955;0.8;0.8019;0.8;LLaMA;0.0128
llama-3.2-3b-instruct;3.0;0.7306;0.73;0.786;0.73;LLaMA;0.0138
llama-3.2-1b-instruct;1.0;0.2468;0.164;0.7851;0.164;LLaMA;0.0168
qwen3-32b;32.0;0.8167;0.821;0.8226;0.821;Qwen;0.0123
qwen3-30b-a3b;30.0;0.8434;0.844;0.847;0.844;Qwen;0.0116
qwen3-14b;14.0;0.8434;0.844;0.847;0.844;Qwen;0.0121
qwen3-8b;8.0;0.8246;0.824;0.8282;0.824;Qwen;0.012
qwen3-1.7b;1.7;0.8166;0.819;0.8227;0.819;Qwen;0.0121
qwen3-0.6b;0.6;0.7144;0.732;0.7355;0.732;Qwen;0.0153
phi-4;14.8;0.8128;0.811;0.8177;0.811;Phi;0.0122
phi-4-mini-instruct;3.8;0.3587;0.245;0.9096;0.245;Phi;0.0164
zephyr-7b-beta;7.0;0.3587;0.245;0.9096;0.245;Zephyr;0.0166
stablelm-zephyr-3b;3.0;0.3587;0.245;0.9096;0.245;Zephyr;0.0171
stablelm-2-zephyr-1_6b;1.6;0.3587;0.245;0.9096;0.245;Zephyr;0.0164
mistral-small-3.1-24b-instruct-2503;24.0;0.7967;0.796;0.8058;0.796;Mistral;0.0129
mistral-7b-instruct-v0.3;7.0;0.7922;0.787;0.8161;0.787;Mistral;0.0127
